School,isDrafted,count
Abilene Christian,1,4
Air Force,0,7
Akron,1,5
Akron,0,4
Ala-Birmingham,1,6
Ala-Birmingham,0,3
Alabama,1,138
Alabama,0,38
Alabama A&M,0,1
Alabama State,1,1
Alabama-Birmingham,1,1
Alcorn State,0,1
Appalachian State,1,14
Appalachian State,0,8
Arizona,1,35
Arizona,0,20
Arizona State,1,57
Arizona State,0,32
Ark-Pine Bluff,1,3
Ark-Pine Bluff,0,1
Arkansas,1,63
Arkansas,0,48
Arkansas State,0,14
Arkansas State,1,7
Army,0,4
Army,1,1
Ashland,1,1
Auburn,1,75
Auburn,0,44
Augustana (SD),0,1
Azusa Pacific,0,1
Azusa Pacific,1,1
BYU,0,31
BYU,1,27
Ball State,1,8
Ball State,0,5
Baylor,1,40
Baylor,0,17
Bethune-Cookman,1,2
Bloomsburg,0,1
Bloomsburg,1,1
Boise State,1,39
Boise State,0,20
Boston Col.,1,39
Boston Col.,0,29
Boston College,1,1
Bowie State,0,1
Bowling Green,1,5
Bowling Green,0,4
Brown,0,1
Brown,1,1
Bucknell,0,2
Buffalo,0,8
Buffalo,1,4
Cal Poly,1,4
California,1,60
California,0,20
California (PA),0,3
California-Davis,0,3
California-Davis,1,2
Catawba,0,1
Central Arkansas,0,4
Central Arkansas,1,2
Central Florida,1,25
Central Florida,0,13
Central Michigan,1,15
Central Michigan,0,7
Central Missouri State,0,3
Central Missouri State,1,2
Central Oklahoma,0,1
Central Washington,0,2
Chadron State,1,1
Charleston,1,1
Charleston Southern,0,1
Charlotte,1,4
Charlotte,0,3
Cheyney,0,1
Cincinnati,1,37
Cincinnati,0,20
Citadel,1,3
Citadel,0,1
Clarion,1,1
Clark Atlanta,0,1
Clemson,1,92
Clemson,0,31
Coastal Carolina,0,7
Coastal Carolina,1,7
Colorado,1,41
Colorado,0,25
Colorado State,1,19
Colorado State,0,18
Concordia (MN),1,1
Connecticut,1,27
Connecticut,0,11
Cornell,1,2
Cornell,0,1
Culver-Stockton College,0,1
Dayton,1,1
Delaware,1,1
Delaware State,0,1
Dixie State,0,1
Drake,1,1
Dubuque,0,1
Duke,0,18
Duke,1,13
East Carolina,0,13
East Carolina,1,12
East Central (OK),1,1
East Tennessee State,0,1
East. Illinois,0,1
East. Illinois,1,1
