,Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,isDrafted,Year
0,John Abraham,OLB,South Carolina,76,252,4.55,,,,,,1,2000
1,Shaun Alexander,RB,Alabama,72,218,4.58,,,,,,1,2000
2,Darnell Alford,OT,Boston Col.,76,334,5.56,25.0,23,94,8.48,4.98,1,2000
3,Kyle Allamon,TE,Texas Tech,74,253,4.97,29.0,,104,7.29,4.49,0,2000
4,Rashard Anderson,CB,Jackson State,74,206,4.55,34.0,,123,7.18,4.15,1,2000
6,LaVar Arrington,OLB,Penn State,75,250,4.53,,,,,,1,2000
7,Corey Atkins,OLB,South Carolina,72,237,4.72,31.0,21,112,7.96,4.39,0,2000
9,Reggie Austin,CB,Wake Forest,69,175,4.44,35.0,17,119,7.03,4.14,1,2000
11,Mark Baniewicz,OT,Syracuse,78,312,5.34,28.0,20,96,7.72,4.73,1,2000
12,Rashidi Barnes,S,Colorado,72,208,4.62,35.0,10,114,6.92,4.32,1,2000
13,David Barrett,CB,Arkansas,70,199,4.44,37.5,16,116,6.81,4.04,1,2000
14,William Bartee,CB,Oklahoma,73,192,4.43,38.5,,124,6.70,3.99,1,2000
16,Terrance Beadles,OG,Ark-Pine Bluff,75,312,5.19,,29,,,,0,2000
17,Robert Bean,CB,Mississippi State,71,178,4.50,34.5,,122,6.87,4.20,1,2000
18,Anthony Becht,TE,West Virginia,78,270,4.78,33.5,,123,6.94,4.08,1,2000
19,Matt Beck,ILB,California,75,234,4.65,,,,,,0,2000
20,Rogers Beckett,S,Marshall,73,207,4.62,39.5,15,119,6.48,4.29,1,2000
21,Brad Bedell,OG,Colorado,76,302,5.07,31.5,17,103,7.76,4.58,1,2000
22,Marcus Bell,ILB,Arizona,74,237,4.78,31.5,21,111,7.17,4.33,1,2000
23,Gary Berry,S,Ohio State,71,204,4.55,,,,,,1,2000
24,Michael Boireau,DE,Miami (FL),76,274,5.09,29.0,26,105,7.68,4.49,1,2000
25,Matt Bowen,S,Iowa,73,201,4.49,33.0,12,115,7.06,4.09,1,2000
26,Carl Bradley,DT,Virginia Tech,74,300,5.03,,,,,,0,2000
27,Tom Brady,QB,Michigan,76,211,5.28,24.5,,99,7.20,4.38,1,2000
28,Robert Brannon,DT,Iowa State,76,309,5.19,28.5,28,99,7.82,4.70,0,2000
29,Keith Brown,RB,UCLA,71,216,4.66,30.0,,117,6.64,4.08,0,2000
30,Demario Brown,RB,Utah State,72,217,4.72,31.0,,107,7.17,4.39,0,2000
31,Courtney Brown,DE,Penn State,77,269,4.78,,,,,,1,2000
32,Mike Brown,S,Nebraska,70,204,4.59,36.0,14,116,6.93,4.01,1,2000
33,Ralph Brown,CB,Nebraska,70,185,4.55,,10,,,,1,2000
34,Travis Brown,QB,Northern Arizona,75,218,5.01,29.0,,101,7.54,4.87,0,2000
35,Lamont Bryant,DE,Notre Dame,75,260,4.91,,17,,,,0,2000
36,Marc Bulger,QB,West Virginia,74,208,4.97,,,100,7.46,4.34,1,2000
37,Keith Bulluck,OLB,Syracuse,75,244,4.47,38.0,,119,7.33,4.13,1,2000
38,Bill Burke,QB,Michigan State,76,206,5.03,28.5,,107,7.46,4.42,0,2000
39,Plaxico Burress,WR,Michigan State,77,231,4.59,33.0,,115,,,1,2000
40,David Byrd,CB,Syracuse,71,202,4.53,36.0,14,117,7.18,4.39,0,2000
41,Trung Canidate,RB,Arizona,71,193,4.41,,18,,,,1,2000
42,Cooper Carlisle,OG,Florida,77,297,5.16,31.0,28,100,7.82,4.48,1,2000
43,Giovanni Carmazzi,QB,Hofstra,75,224,4.74,36.5,,119,6.94,4.23,1,2000
44,Leonardo Carson,DE,Auburn,73,283,5.06,28.0,22,106,7.82,4.75,1,2000
45,Tyrone Carter,S,Minnesota,68,190,4.50,41.0,16,121,6.75,4.19,1,2000
46,Kwame Cavil,WR,Texas,74,208,4.54,39.5,,118,,,0,2000
47,Chris Chaloupka,QB,SMU,74,216,4.96,,,,,,0,2000
48,Doug Chapman,RB,Marshall,70,215,4.56,38.5,16,128,6.84,4.20,1,2000
49,Ike Charlton,CB,Virginia Tech,71,205,4.47,,16,126,,,1,2000
51,Chrys Chukwuma,RB,Arkansas,73,232,4.56,,,115,,,0,2000
52,Joey Chustz,OT,Louisiana Tech,79,304,5.08,31.0,28,103,7.65,4.65,1,2000
53,Pedro Cirino,S,Boston Col.,71,197,4.59,,,,,,0,2000
54,John Saint Clair,C,Virginia,77,302,5.20,,25,,,,0,2000
55,Kendrick Clancy,DT,Mississippi,73,283,5.25,27.5,25,108,7.98,4.65,1,2000
56,Travis Claridge,OG,USC,77,303,5.15,31.5,29,100,7.77,4.86,1,2000
57,Danny Clark,ILB,Illinois,74,245,4.75,,20,,,,1,2000
58,Chad Clifton,OT,Tennessee,77,334,5.05,30.5,24,102,7.58,4.73,1,2000
59,Chris Cole,WR,Texas A&M,72,191,4.37,37.5,,125,6.76,4.09,1,2000
60,Chris Coleman,WR,North Carolina State,72,211,4.61,32.5,,110,6.79,4.10,0,2000
