,Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,isDrafted,Year
0,BJ Adams,CB,Central Florida,74,182,4.53,32.5,,117.0,,,0,2025
1,Tommy Akingbesote,DT,Maryland,76,306,5.09,28.0,,103.0,,,0,2025
2,Darius Alexander,DT,Toledo,76,305,4.95,31.5,28.0,111.0,7.6,4.79,0,2025
3,Zy Alexander,CB,LSU,73,187,4.56,31.5,,116.0,,,0,2025
4,LeQuint Allen,RB,Syracuse,72,204,,35.0,,120.0,,,0,2025
5,Trey Amos,CB,Mississippi,73,195,4.43,32.5,13.0,126.0,,,0,2025
6,Andrew Armstrong,WR,Arkansas,76,202,4.51,37.5,11.0,124.0,6.97,4.18,0,2025
7,Elijah Arroyo,TE,Miami,77,250,,,22.0,,,,0,2025
8,Eugene Asante,LB,Auburn,73,223,4.48,,21.0,,,,0,2025
9,Elic Ayomanor,WR,Stanford,74,206,4.44,38.5,,127.0,,,0,2025
10,Elijhah Badger,WR,Florida,73,200,4.43,35.5,,,,,0,2025
11,Tyler Baron,EDGE,Miami,77,258,4.62,35.5,19.0,121.0,,,0,2025
12,Jahdae Barron,CB,Texas,71,194,4.39,35.0,,123.0,,,1,2025
13,Gavin Bartholomew,TE,Pittsburgh,77,246,4.7,,,,,,0,2025
14,Jeffrey Bassa,LB,Oregon,73,232,4.63,38.5,21.0,118.0,7.34,,0,2025
15,Tyler Batty,EDGE,BYU,78,271,4.78,34.0,27.0,120.0,7.21,4.54,0,2025
16,Jack Bech,WR,TCU,73,214,,34.5,19.0,125.0,6.84,4.21,0,2025
17,Anthony Belton,OT,North Carolina St.,78,336,5.26,29.5,,107.0,7.77,,0,2025
18,Zeek Biggers,DT,Georgia Tech,78,321,5.14,34.5,,111.0,,,0,2025
19,Yahya Black,DT,Iowa,78,336,5.39,25.5,,101.0,7.63,4.72,0,2025
20,Jaydon Blue,RB,Texas,69,196,4.38,,,,,,0,2025
21,Isaiah Bond,WR,Texas,71,180,4.39,,,,,,0,2025
22,Tyler Booker,G,Alabama,77,321,5.38,27.0,,94.0,7.96,4.84,1,2025
24,Jake Briningstool,TE,Clemson,78,241,4.75,31.0,,115.0,,,0,2025
25,Warren Brinson,DT,Georgia,77,315,5.09,31.0,,115.0,,,0,2025
27,Tahj Brooks,RB,Texas Tech,69,214,4.52,35.0,16.0,120.0,6.9,4.06,0,2025
30,Logan Brown,OT,Kansas,78,311,5.18,32.0,,111.0,7.75,4.51,0,2025
31,Carson Bruener,LB,Washington,73,227,4.58,33.5,,119.0,,,0,2025
32,Jacobee Bryant,CB,Kansas,72,180,4.53,,,,,,0,2025
33,Pat Bryant,WR,Illinois,74,204,4.61,37.5,,124.0,,,0,2025
34,Teddye Buchanan,LB,California,74,233,4.6,40.0,26.0,125.0,,,0,2025
35,Jordan Burch,EDGE,Oregon,76,279,4.67,,,,,,0,2025
36,Denzel Burke,CB,Ohio St.,71,186,4.48,,,,,,0,2025
38,Jamaree Caldwell,DT,Oregon,74,332,5.16,27.0,,,,,0,2025
39,Jihaad Campbell,LB,Alabama,75,235,4.52,,,127.0,,,1,2025
40,Will Campbell,OT,LSU,78,319,4.98,32.0,,113.0,,,1,2025
42,Barrett Carter,LB,Clemson,72,231,,34.5,,116.0,,4.41,0,2025
43,Sebastian Castro,S,Iowa,71,203,4.59,30.5,,117.0,,4.34,0,2025
44,Alijah Clark,S,Syracuse,73,188,4.5,33.0,,122.0,,,0,2025
45,Connor Colby,G,Iowa,78,309,5.11,28.5,,110.0,7.78,4.63,0,2025
46,Alfred Collins,DT,Texas,78,332,,26.0,,96.0,,,0,2025
48,Joshua Conerly,OT,Oregon,77,311,5.05,34.5,,103.0,,,1,2025
49,Hayden Conner,G,Texas,78,314,,,,,7.9,4.88,0,2025
51,Jalin Conyers,TE,Texas Tech,76,260,4.74,35.5,,121.0,6.94,4.27,0,2025
52,Brady Cook,QB,Missouri,74,214,4.59,37.0,,128.0,7.01,4.17,0,2025
54,Eli Cox,C,Kentucky,76,306,5.02,32.5,,109.0,7.63,4.58,0,2025
55,Kitan Crawford,S,Nevada,71,202,4.41,41.5,18.0,128.0,6.81,4.03,0,2025
57,Brandon Crenshaw-Dickson,OT,Florida,79,316,5.33,24.5,,96.0,8.15,4.91,0,2025
60,Fadil Diggs,EDGE,Syracuse,76,257,4.57,30.5,,121.0,,,0,2025
61,Chimere Dike,WR,Florida,73,196,4.34,38.5,,128.0,6.82,4.27,0,2025
62,CJ Dippre,TE,Alabama,77,256,4.69,34.5,32.0,120.0,,,0,2025
63,Ra'Mello Dotson,CB,Kansas,73,192,4.59,34.5,,123.0,,,0,2025
64,Ethan Downs,EDGE,Oklahoma,76,269,4.69,34.0,32.0,119.0,7.58,4.59,0,2025
66,Power Echols,LB,North Carolina,71,237,4.73,37.0,,115.0,7.6,4.56,0,2025
67,Donovan Edwards,RB,Michigan,71,205,4.44,38.5,23.0,,,,0,2025
69,Nick Emmanwori,S,South Carolina,75,220,4.38,43.0,20.0,138.0,,,0,2025
70,Aireontae Ersery,OT,Minnesota,78,331,5.01,29.5,,111.0,7.81,4.82,0,2025
71,Trevor Etienne,RB,Georgia,69,198,4.42,35.0,15.0,124.0,,,0,2025
72,Mitchell Evans,TE,Notre Dame,77,258,4.74,31.0,,115.0,7.25,4.4,0,2025
74,Donovan Ezeiruaku,EDGE,Boston Col.,75,248,,35.5,22.0,119.0,6.94,4.19,0,2025
75,Dylan Fairchild,G,Georgia,77,318,,27.5,,111.0,,,0,2025
76,Joshua Farmer,DT,Florida St.,75,305,5.11,29.0,26.0,112.0,,,0,2025
77,Da'Quan Felton,WR,Virginia Tech,77,213,4.5,32.5,16.0,122.0,7.1,4.3,0,2025
78,Tai Felton,WR,Maryland,73,183,4.37,39.5,,130.0,,,0,2025
79,Terrance Ferguson,TE,Oregon,77,247,4.63,39.0,,122.0,,,0,2025
81,O'Donnell Fortune,CB,South Carolina,73,185,,32.5,,117.0,,,0,2025
82,Zah Frazier,CB,Texas-San Antonio,75,186,4.36,36.5,,126.0,7.0,4.26,0,2025
83,Miles Frazier,G,LSU,78,317,5.24,31.0,,108.0,,,0,2025
85,Jacolby George,WR,Miami,71,172,,32.5,,120.0,6.77,,0,2025
