player,college,position,height,weight,40yd,vertical,bench reps,broad jump,cone,shuttle
BJ Adams,Central Florida,CB,6-2,182,4.53,32.5,,117,,
Tommy Akingbesote,Maryland,DT,6-4,306,5.09,28.0,,103,,
Darius Alexander,Toledo,DT,6-4,305,4.95,31.5,28,111,7.60,4.79
Zy Alexander,LSU,CB,6-1,187,4.56,31.5,,116,,
LeQuint Allen,Syracuse,RB,6-0,204,,35.0,,120,,
Trey Amos,Mississippi,CB,6-1,195,4.43,32.5,13,126,,
Andrew Armstrong,Arkansas,WR,6-4,202,4.51,37.5,11,124,6.97,4.18
Elijah Arroyo,Miami,TE,6-5,250,,,22,,,
Eugene Asante,Auburn,LB,6-1,223,4.48,,21,,,
Elic Ayomanor,Stanford,WR,6-2,206,4.44,38.5,,127,,
Elijhah Badger,Florida,WR,6-1,200,4.43,35.5,,,,
Tyler Baron,Miami,EDGE,6-5,258,4.62,35.5,19,121,,
Jahdae Barron,Texas,CB,5-11,194,4.39,35.0,,123,,
Gavin Bartholomew,Pittsburgh,TE,6-5,246,4.70,,,,,
Jeffrey Bassa,Oregon,LB,6-1,232,4.63,38.5,21,118,7.34,
Tyler Batty,BYU,EDGE,6-6,271,4.78,34.0,27,120,7.21,4.54
Jack Bech,TCU,WR,6-1,214,,34.5,19,125,6.84,4.21
Anthony Belton,North Carolina St.,OT,6-6,336,5.26,29.5,,107,7.77,
Zeek Biggers,Georgia Tech,DT,6-6,321,5.14,34.5,,111,,
Yahya Black,Iowa,DT,6-6,336,5.39,25.5,,101,7.63,4.72
Jaydon Blue,Texas,RB,5-9,196,4.38,,,,,
Isaiah Bond,Texas,WR,5-11,180,4.39,,,,,
Tyler Booker,Alabama,G,6-5,321,5.38,27.0,,94,7.96,4.84
Andres Borregales,Miami,K,5-11,199,,,,,,
Jake Briningstool,Clemson,TE,6-6,241,4.75,31.0,,115,,
Warren Brinson,Georgia,DT,6-5,315,5.09,31.0,,115,,
Ja'Corey Brooks,Louisville,WR,6-2,184,,,,,,
Tahj Brooks,Texas Tech,RB,5-9,214,4.52,35.0,16,120,6.90,4.06
Max Brosmer,Minnesota,QB,6-2,217,,,,,,
Vernon Broughton,Texas,DT,6-5,311,,,,,,
Logan Brown,Kansas,OT,6-6,311,5.18,32.0,,111,7.75,4.51
Carson Bruener,Washington,LB,6-1,227,4.58,33.5,,119,,
Jacobee Bryant,Kansas,CB,6-0,180,4.53,,,,,
Pat Bryant,Illinois,WR,6-2,204,4.61,37.5,,124,,
Teddye Buchanan,California,LB,6-2,233,4.60,40.0,26,125,,
Jordan Burch,Oregon,EDGE,6-4,279,4.67,,,,,
Denzel Burke,Ohio St.,CB,5-11,186,4.48,,,,,
James Burnip,Alabama,P,6-6,235,,,,,,
Jamaree Caldwell,Oregon,DT,6-2,332,5.16,27.0,,,,
Jihaad Campbell,Alabama,LB,6-3,235,4.52,,,127,,
Will Campbell,LSU,OT,6-6,319,4.98,32.0,,113,,
Abdul Carter,Penn St.,EDGE,6-3,250,,,,,,
Barrett Carter,Clemson,LB,6-0,231,,34.5,,116,,4.41
Sebastian Castro,Iowa,SAF,5-11,203,4.59,30.5,,117,,4.34
Alijah Clark,Syracuse,SAF,6-1,188,4.50,33.0,,122,,
Connor Colby,Iowa,G,6-6,309,5.11,28.5,,110,7.78,4.63
Alfred Collins,Texas,DT,6-6,332,,26.0,,96,,
Beaux Collins,Notre Dame,WR,6-3,201,,,,,,
Joshua Conerly,Oregon,OT,6-5,311,5.05,34.5,,103,,
Hayden Conner,Texas,G,6-6,314,,,,,7.90,4.88
Jalin Conyers,Texas Tech,TE,6-4,260,4.74,35.5,,121,6.94,4.27
Brady Cook,Missouri,QB,6-2,214,4.59,37.0,,128,7.01,4.17
Ajani Cornelius,Oregon,OT,6-5,310,,,,,,
Eli Cox,Kentucky,C,6-4,306,5.02,32.5,,109,7.63,4.58
Kitan Crawford,Nevada,SAF,5-11,202,4.41,41.5,18,128,6.81,4.03
Jeremy Crawshaw,Florida,P,6-4,198,,,,,,
Brandon Crenshaw-Dickson,Florida,OT,6-7,316,5.33,24.5,,96,8.15,4.91
Jaxson Dart,Mississippi,QB,6-2,223,,,,,,
Garrett Dellinger,LSU,G,6-4,325,,,,,,
Fadil Diggs,Syracuse,EDGE,6-4,257,4.57,30.5,,121,,
Chimere Dike,Florida,WR,6-1,196,4.34,38.5,,128,6.82,4.27
CJ Dippre,Alabama,TE,6-5,256,4.69,34.5,32,120,,
Ra'Mello Dotson,Kansas,CB,6-1,192,4.59,34.5,,123,,
Ethan Downs,Oklahoma,EDGE,6-4,269,4.69,34.0,32,119,7.58,4.59
Jamon Dumas-Johnson,Kentucky,LB,6-1,238,,,,,,
Power Echols,North Carolina,LB,5-11,237,4.73,37.0,,115,7.60,4.56
Donovan Edwards,Michigan,RB,5-11,205,4.44,38.5,23,,,
Emeka Egbuka,Ohio St.,WR,6-1,202,,,,,,
Nick Emmanwori,South Carolina,SAF,6-3,220,4.38,43.0,20,138,,
Aireontae Ersery,Minnesota,OT,6-6,331,5.01,29.5,,111,7.81,4.82
Trevor Etienne,Georgia,RB,5-9,198,4.42,35.0,15,124,,
Mitchell Evans,Notre Dame,TE,6-5,258,4.74,31.0,,115,7.25,4.40
Quinn Ewers,Texas,QB,6-2,214,,,,,,
Donovan Ezeiruaku,Boston Col.,EDGE,6-3,248,,35.5,22,119,6.94,4.19
Dylan Fairchild,Georgia,G,6-5,318,,27.5,,111,,
Joshua Farmer,Florida St.,DT,6-3,305,5.11,29.0,26,112,,
Da'Quan Felton,Virginia Tech,WR,6-5,213,4.50,32.5,16,122,7.10,4.30
Tai Felton,Maryland,WR,6-1,183,4.37,39.5,,130,,
Terrance Ferguson,Oregon,TE,6-5,247,4.63,39.0,,122,,
Ryan Fitzgerald,Florida St.,K,5-11,193,,,,,,
O'Donnell Fortune,South Carolina,CB,6-1,185,,32.5,,117,,
Zah Frazier,Texas-San Antonio,CB,6-3,186,4.36,36.5,,126,7.00,4.26
Miles Frazier,LSU,G,6-6,317,5.24,31.0,,108,,
Dillon Gabriel,Oregon,QB,5-11,205,,,,,,
Jacolby George,Miami,WR,5-11,172,,32.5,,120,6.77,
DJ Giddens,Kansas St.,RB,6-0,212,4.43,39.5,,130,,4.33
Ashton Gillotte,Louisville,EDGE,6-3,264,,36.5,24,120,,
Matthew Golden,Texas,WR,5-11,191,4.29,,,,,
Mason Graham,Michigan,DT,6-4,296,,,24,,,
Charles Grant,William & Mary,OT,6-5,311,,,,,,
Kenneth Grant,Michigan,DT,6-4,331,,,22,,,
Joshua Gray,Oregon St.,G,6-5,299,5.04,31.0,,104,,
Mike Green,Marshall,EDGE,6-3,251,,,28,,,
Eric Gregory,Arkansas,DT,6-3,319,5.14,27.0,28,108,7.68,4.97
Maxwell Hairston,Kentucky,CB,5-11,183,4.28,39.5,,129,,
Ty Hamilton,Ohio St.,DT,6-3,299,,,,,,
Omarion Hampton,North Carolina,RB,6-0,221,4.46,38.0,18,130,,4.40
Jordan Hancock,Ohio St.,CB,6-0,195,,,,,,
Derrick Harmon,Oregon,DT,6-5,313,4.95,,,,,
Marcus Harris,California,CB,5-11,189,4.45,,,,,
Jermari Harris,Iowa,CB,6-1,191,,37.0,,120,,
Cleveland Harris,Mississippi,WR,6-2,205,4.54,38.5,,125,,
Jared Harrison-Hunte,SMU,DT,6-3,290,4.86,32.0,,111,,
RJ Harvey,Central Florida,RB,5-8,205,4.40,38.0,16,127,,4.34
Ahmed Hassanein,Boise St.,EDGE,6-2,267,4.77,32.5,27,113,,
Jackson Hawes,Georgia Tech,TE,6-5,253,4.82,34.5,16,121,,4.40
Gunnar Helm,Texas,TE,6-5,241,4.84,30.0,,,7.15,4.40
Tonka Hemingway,South Carolina,DT,6-3,284,,32.0,,112,7.36,4.48
TreVeyon Henderson,Ohio St.,RB,5-10,202,4.43,38.5,,128,,
Seth Henigan,Memphis,QB,6-3,215,4.76,31.5,,114,7.34,4.44
Jayden Higgins,Iowa St.,WR,6-4,214,4.47,39.0,,128,,
Jay Higgins,Iowa,LB,6-0,224,4.82,33.0,,110,7.01,4.35
Tommi Hill,Nebraska,CB,6-1,213,,,,,,
Myles Hinton,Michigan,OT,6-7,323,,31.5,,,,4.96
Traeshon Holden,Oregon,WR,6-2,205,4.57,32.0,,123,,
Maxen Hook,Toledo,SAF,6-1,202,4.55,34.5,,124,,
Cam Horsley,Boston Col.,DT,6-3,312,,31.5,,108,,
Tory Horton,Colorado St.,WR,6-3,196,4.41,37.5,,,,
Will Howard,Ohio St.,QB,6-4,236,,31.5,,112,7.13,4.33
Joe Huber,Wisconsin,G,6-5,310,5.20,28.0,,106,7.69,4.78
Kobe Hudson,Central Florida,WR,6-1,193,4.57,35.0,,122,,
Jarquez Hunter,Auburn,RB,5-9,204,4.44,33.5,21,120,,
Travis Hunter,Colorado,CB/WR,6-0,188,,,,,,
Alijah Huzzie,North Carolina,CB,5-10,193,,,,,,
Thomas Fidone II,Nebraska,TE,6-5,243,4.70,35.5,,126,7.01,4.29
Oronde Gadsden II,Syracuse,TE,6-5,243,,34.0,,114,,
Ollie Gordon II,Oklahoma St.,RB,6-1,226,4.61,34.5,,120,,
Torricelli Simpkins III,South Carolina,C,6-5,312,5.45,29.0,,110,,
Luther Burden III,Missouri,WR,6-0,206,4.41,,,,,
Howard Cross III,Notre Dame,DT,6-1,285,,29.0,,104,,
Rayuan Lane III,Navy,SAF,5-11,200,4.57,37.0,,128,7.10,4.28
Ricky White III,UNLV,WR,6-1,184,4.61,36.0,,123,,
