year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,drafted
2000,darnell alford,Boston College,OT,76.0,334.0,5.58,23.0,25.0,94.0,4.98,,1
2000,kyle allamon,Texas Tech,TE,74.5,253.0,5.01,,29.0,104.0,4.49,,0
2000,rashard anderson,Jackson State (MS),CB,74.4,206.0,4.59,,34.0,123.0,4.15,,1
2000,corey atkins,South Carolina,OLB,72.4,237.0,4.76,21.0,31.0,112.0,4.39,,0
2000,reggie austin,Wake Forest,CB,69.4,175.0,4.46,17.0,35.0,119.0,4.14,,1
2000,mark baniewicz,Syracuse,OT,77.9,312.0,5.36,20.0,28.0,96.0,4.73,,1
2000,rashidi barnes,Colorado,FS,71.6,208.0,4.63,10.0,35.0,114.0,4.32,,1
2000,david barrett,Arkansas,CB,69.9,199.0,4.48,16.0,37.5,116.0,4.04,,1
2000,william bartee,Oklahoma,CB,73.0,192.0,4.43,,38.5,124.0,3.99,,1
2000,terrance beadles,Arkansas-Pine Bluff,OG,74.9,312.0,5.21,29.0,,,,,0
2000,robert bean,Mississippi State,CB,71.0,178.0,4.5,,34.5,122.0,4.2,,1
2000,anthony becht,West Virginia,TE,77.6,270.0,4.78,,33.5,123.0,4.08,,1
2000,rogers beckett,Marshall (WV),FS,73.5,207.0,4.64,15.0,39.5,119.0,4.29,,1
2000,brad bedell,Colorado,OG,76.4,302.0,5.12,17.0,31.5,103.0,4.58,,1
2000,marcus bell,Arizona,ILB,73.6,237.0,4.8,21.0,31.5,111.0,4.33,,1
2000,michael boireau,Miami (FL),DE,76.1,274.0,5.12,26.0,29.0,105.0,4.49,,1
2000,matt bowen,Iowa,SS,73.1,201.0,4.51,12.0,33.0,115.0,4.09,,1
2000,tom brady,Michigan,QB,76.4,211.0,5.3,,24.5,99.0,4.38,,1
2000,robert brannon,Iowa State,DT,75.8,309.0,5.22,28.0,28.5,99.0,4.7,,0
2000,demario brown,Utah State,RB,72.4,217.0,4.74,,31.0,107.0,4.39,,0
2000,keith brown,UCLA,RB,71.1,216.0,4.68,,30.0,117.0,4.08,,0
2000,mike brown,Nebraska,SS,69.9,204.0,4.6,14.0,36.0,116.0,4.01,,1
2000,ralph brown,Nebraska,CB,69.9,204.0,4.6,14.0,36.0,116.0,4.01,,1
2000,travis brown,Northern Arizona,QB,75.5,218.0,5.03,,29.0,101.0,4.87,,0
2000,lamont bryant,Notre Dame,DE,75.4,260.0,4.92,17.0,,,,,0
2000,marc bulger,West Virginia,QB,73.6,208.0,4.96,,,100.0,4.34,,1
2000,keith bulluck,Syracuse,OLB,75.0,244.0,4.47,,38.0,119.0,4.13,,1
2000,bill burke,Michigan State,QB,75.9,206.0,5.07,,28.5,107.0,4.42,,0
2000,plaxico burress,Michigan State,WR,77.4,231.0,4.59,,33.0,115.0,,,1
2000,david byrd,Syracuse,CB,71.4,202.0,4.55,14.0,36.0,117.0,4.39,,0
2000,trung canidate,Arizona,RB,70.6,193.0,4.46,18.0,,,,,1
2000,cooper carlisle,Florida,OG,77.4,297.0,5.2,28.0,31.0,100.0,4.48,,1
2000,giovanni carmazzi,Hofstra (NY),QB,74.6,224.0,4.76,,36.5,119.0,4.23,,1
