year,name,drafted
2000,Courtney Brown,1
2000,LaVar Arrington,1
2000,Chris Samuels,1
2000,Peter Warrick,1
2000,Jamal Lewis,1
2000,Corey Simon,1
2000,Thomas Jones,1
2000,Plaxico Burress,1
2000,Brian Urlacher,1
2000,Travis Taylor,1
2000,Ron Dayne,1
2000,Shaun Ellis,1
2000,John Abraham,1
2000,Bubba Franks,1
2000,Deltha O'Neal,1
2000,Julian Peterson,1
2000,Sebastian Janikowski,1
2000,Chad Pennington,1
2000,Shaun Alexander,1
2000,Stockar McDougle,1
2000,Sylvester Morris,1
2000,Chris McIntosh,1
2000,Rashard Anderson,1
2000,Ahmed Plummer,1
2000,Chris Hovan,1
2000,Erik Flowers,1
2000,Anthony Becht,1
2000,Rob Morris,1
2000,R. Jay Soward,1
2000,Keith Bulluck,1
2000,Trung Canidate,1
2000,Dennis Northcutt,1
2000,Darren Howard,1
2000,Mark Roman,1
2000,John Engelberger,1
2000,Todd Pinkston,1
2000,Travis Claridge,1
2000,Marvel Smith,1
2000,Mike Brown,1
2000,Ian Gold,1
2000,Raynoch Thompson,1
2000,Cornelius Griffin,1
2000,Rogers Beckett,1
2000,Chad Clifton,1
2000,Kenoy Kennedy,1
2000,Adrian Klemm,1
2000,Jerry Porter,1
2000,Jason Webster,1
2000,Dwayne Goodrich,1
2000,Barrett Green,1
2000,Cosey Coleman,1
2000,Ike Charlton,1
2000,Todd Wade,1
2000,William Bartee,1
2000,Fred Robbins,1
2000,Michael Boireau,1
2000,Deon Grant,1
2000,Travares Tillman,1
2000,Marcus Washington,1
2000,Brad Meester,1
2000,Bobbie Williams,1
2000,Jacoby Shepherd,1
2000,Travis Prentice,1
2000,Lloyd Harrison,1
2000,Giovanni Carmazzi,1
2000,Ron Dugans,1
2000,Mark Simoneau,1
2000,Erron Kinney,1
2000,Dez White,1
2000,Chris Cole,1
2000,Darwin Walker,1
2000,Kendrick Clancy,1
2000,Ron Dixon,1
2000,Steve Warren,1
2000,Chris Redman,1
2000,J.R. Redmond,1
2000,Hank Poteat,1
2000,Laveranues Coles,1
2000,JaJuan Dawson,1
2000,Darrell Jackson,1
2000,Reuben Droughns,1
2000,Leander Jordan,1
2000,Damion McIntosh,1
2000,Ben Kelly,1
2000,Gregory Wesley,1
2000,Jeff Ulbrich,1
2000,Dustin Lyman,1
2000,Doug Chapman,1
2000,Corey Moore,1
2000,Nate Webster,1
2000,David Macklin,1
2000,T.J. Slaughter,1
2000,Byron Frisch,1
2000,John St. Clair,1
2000,Lewis Sanders,1
2000,Terrelle Smith,1
2000,Curtis Keaton,1
2000,Na'il Diggs,1
2000,Gari Scott,1
2000,Michael Thompson,1
2000,Jerry Johnson,1
2000,David Barrett,1
2000,Danny Farmer,1
2000,Kaulana Noa,1
2000,Brandon Short,1
2000,Antonio Wilson,1
2000,Junior Ioane,1
2000,John Keith,1
2000,Kareem Larrimore,1
2000,Aaron Shea,1
2000,Trevor Gaylor,1
2000,Cooper Carlisle,1
2000,Leonardo Carson,1
2000,Anthony Lucas,1
2000,Frank Moreau,1
2000,Marcus Bell,1
2000,Deon Dyer,1
2000,Tyrone Carter,1
2000,Isaiah Kacyvenski,1
2000,Alvin McKinley,1
2000,Avion Black,1
2000,Josh Williams,1
2000,Joey Chustz,1
2000,Bobby Myers,1
2000,Reggie Austin,1
2000,Gary Berry,1
2000,Greg Robinson-Randall,1
2000,Peter Sirmon,1
2000,Michael Moore,1
2000,Anthony Malbrough,1
2000,Tutan Reyes,1
2000,Paul Smith,1
2000,Robert Bean,1
2000,Anthony Midget,1
2000,Aric Morris,1
2000,Falemao Tosi,1
2000,Clark Haggans,1
2000,Matt Johnson,1
2000,Brian Young,1
2000,Ralph Brown,1
2000,Dave Stachelski,1
2000,Shane Lechler,1
2000,Windrell Hayes,1
2000,Michael Wiley,1
2000,Todd Franz,1
2000,Lamar Chapman,1
2000,Gillis Wilson,1
2000,Richard Mercier,1
2000,Kabeer Gbaja-Biamila,1
2000,John Milem,1
2000,Joey Jamison,1
