,Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,isDrafted,Year
0,John Abraham,OLB,South Carolina,6-4,252,4.55,,,,,,1,2000
1,Shaun Alexander,RB,Alabama,6-0,218,4.58,,,,,,1,2000
2,Darnell Alford,OT,Boston Col.,6-4,334,5.56,25.0,23,94,8.48,4.98,1,2000
3,Kyle Allamon,TE,Texas Tech,6-2,253,4.97,29.0,,104,7.29,4.49,0,2000
4,Rashard Anderson,CB,Jackson State,6-2,206,4.55,34.0,,123,7.18,4.15,1,2000
6,LaVar Arrington,OLB,Penn State,6-3,250,4.53,,,,,,1,2000
7,Corey Atkins,OLB,South Carolina,6-0,237,4.72,31.0,21,112,7.96,4.39,0,2000
9,Reggie Austin,CB,Wake Forest,5-9,175,4.44,35.0,17,119,7.03,4.14,1,2000
11,Mark Baniewicz,OT,Syracuse,6-6,312,5.34,28.0,20,96,7.72,4.73,1,2000
12,Rashidi Barnes,S,Colorado,6-0,208,4.62,35.0,10,114,6.92,4.32,1,2000
13,David Barrett,CB,Arkansas,5-10,199,4.44,37.5,16,116,6.81,4.04,1,2000
14,William Bartee,CB,Oklahoma,6-1,192,4.43,38.5,,124,6.70,3.99,1,2000
16,Terrance Beadles,OG,Ark-Pine Bluff,6-3,312,5.19,,29,,,,0,2000
17,Robert Bean,CB,Mississippi State,5-11,178,4.50,34.5,,122,6.87,4.20,1,2000
18,Anthony Becht,TE,West Virginia,6-6,270,4.78,33.5,,123,6.94,4.08,1,2000
19,Matt Beck,ILB,California,6-3,234,4.65,,,,,,0,2000
20,Rogers Beckett,S,Marshall,6-1,207,4.62,39.5,15,119,6.48,4.29,1,2000
21,Brad Bedell,OG,Colorado,6-4,302,5.07,31.5,17,103,7.76,4.58,1,2000
22,Marcus Bell,ILB,Arizona,6-2,237,4.78,31.5,21,111,7.17,4.33,1,2000
23,Gary Berry,S,Ohio State,5-11,204,4.55,,,,,,1,2000
24,Michael Boireau,DE,Miami (FL),6-4,274,5.09,29.0,26,105,7.68,4.49,1,2000
25,Matt Bowen,S,Iowa,6-1,201,4.49,33.0,12,115,7.06,4.09,1,2000
26,Carl Bradley,DT,Virginia Tech,6-2,300,5.03,,,,,,0,2000
27,Tom Brady,QB,Michigan,6-4,211,5.28,24.5,,99,7.20,4.38,1,2000
28,Robert Brannon,DT,Iowa State,6-4,309,5.19,28.5,28,99,7.82,4.70,0,2000
29,Keith Brown,RB,UCLA,5-11,216,4.66,30.0,,117,6.64,4.08,0,2000
