year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone
1997,Kevin Abrams,Syracuse,CB,68.40,174,,,,,,
1997,Mike Adams,Texas,WR,71.40,184,4.59,,29.5,112,4.38,
1997,Winston Alderson,Arkansas,OT,76.10,344,5.60,,24.5,92,5.25,
1997,Ink Aleaga,Washington,ILB,73.00,227,4.87,,31.0,107,4.33,
1997,Eric Allen,Indiana,FS,72.00,205,4.78,,34.0,116,4.22,
1997,James Allen,Oklahoma,RB,70.10,212,,11,31.0,,,
1997,John Allred,Southern California,TE,76.40,244,5.01,15,32.0,112,4.32,
1997,Richard Alvarado,Jackson State (MS),OLB,74.60,239,4.92,18,33.5,115,4.28,
1997,Antonio Anderson,Syracuse,DE,78.60,314,,,,,,
1997,Reidel Anthony,Florida,WR,71.50,183,,,,,,
1997,Jim Arellanes,Frenso State (CA),QB,75.10,211,5.19,,27.0,102,4.67,
1997,Duane Ashman,Virginia,DE,75.50,274,5.03,19,32.5,110,4.83,
1997,Ty Atteberry,Baylor,P,72.40,199,,,,,,
1997,Raymond Austin,Tennessee,SS,70.60,190,4.80,12,32.5,111,4.05,
1997,Darnell Autry,Northwestern,RB,70.80,210,,,34.0,114,,
1997,Brad Badger,Stanford,OG,76.40,296,5.22,21,32.5,111,4.13,
1997,Antonio Banks,Virginia Tech,CB,70.00,203,4.66,18,36.0,117,4.41,
1997,Ronde Barber,Virginia,CB,69.40,185,4.68,14,34.5,118,4.46,
1997,Tiki Barber,Virginia,RB,69.40,203,4.56,15,35.5,120,4.00,
1997,Derrick Barnes,Oregon,OLB,72.90,261,4.92,15,33.0,109,4.42,
1997,Pat Barnes,California,QB,75.10,212,,,,,,
1997,James Bates,Florida,ILB,73.00,230,4.92,,32.5,115,4.29,
1997,Terry Battle,Arizona State,RB,70.60,197,4.71,16,34.5,118,,
1997,Bert Berry,Notre Dame,DE,74.60,243,4.64,27,37.5,123,4.49,
1997,Will Blackwell,San Diego State,WR,72.00,185,4.62,,34.0,120,4.28,
1997,Michael Booker,Nebraska,CB,73.30,203,,10,,,,
1997,Ben Bordelon,Louisiana State,OT,77.10,298,5.42,22,28.0,104,4.73,
1997,Peter Boulware,Florida State,DE,76.10,254,4.76,,34.0,118,4.20,
1997,Calvin Branch,Colorado State,RB,71.40,200,4.49,18,39.0,127,4.08,
1997,Will Brice,Virginia,P,76.00,225,,,,,,
1997,Zack Bronson,McNeese State (LA),FS,72.40,190,4.66,9,33.5,115,4.35,
1997,Macey Brooks,James Madison (VA),WR,76.60,214,4.65,,38.5,125,4.13,
1997,Cornell Brown,Virginia Tech,DE,73.10,244,5.00,19,32.0,115,4.33,
1997,Rod Brown,North Carolina State,FB,71.50,245,5.03,25,28.0,102,,
1997,Lamont Burns,East Carolina (NC),OG,75.60,299,5.32,30,28.5,109,4.70,
1997,Kenney Bynum,South Carolina State,RB,70.80,190,4.53,11,35.5,124,4.13,
1997,Chris Canty,Kansas State,CB,69.60,194,,,,,,
